experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
XDP_1024-1029_Port_No_Block_41_rep3,6,41,3,37192205,0,100.0
XDP_1024-1030_Port_No_Block_15_41_rep1,7,15_41,1,37203368,16066854,56.81
XDP_1024-1030_Port_No_Block_15_41_rep2,7,15_41,2,37203373,16026324,56.92
XDP_1024-1030_Port_No_Block_15_41_rep3,7,15_41,3,37203344,16012639,56.96
XDP_1024-1030_Port_No_Block_15_rep1,7,15,1,37203354,31895931,14.27
XDP_1024-1030_Port_No_Block_15_rep2,7,15,2,37203305,31770953,14.6
XDP_1024-1030_Port_No_Block_15_rep3,7,15,3,37203382,31924581,14.19
XDP_1024-1030_Port_No_Block_41_rep1,7,41,1,37193355,0,100.0
XDP_1024-1030_Port_No_Block_41_rep2,7,41,2,37179456,0,100.0
XDP_1024-1030_Port_No_Block_41_rep3,7,41,3,37203114,0,100.0
XDP_1024-1031_Port_No_Block_15_41_rep1,8,15_41,1,37203414,16063454,56.82
XDP_1024-1031_Port_No_Block_15_41_rep2,8,15_41,2,37203404,16045248,56.87
XDP_1024-1031_Port_No_Block_15_41_rep3,8,15_41,3,37203406,16076308,56.79
XDP_1024-1031_Port_No_Block_15_rep1,8,15,1,37203023,32076228,13.78
XDP_1024-1031_Port_No_Block_15_rep2,8,15,2,37203269,31552411,15.19
XDP_1024-1031_Port_No_Block_15_rep3,8,15,3,37203322,31568825,15.15
XDP_1024-1031_Port_No_Block_41_rep1,8,41,1,37203184,0,100.0
XDP_1024-1031_Port_No_Block_41_rep2,8,41,2,37202117,0,100.0
XDP_1024-1031_Port_No_Block_41_rep3,8,41,3,37200889,0,100.0
XDP_1024-1032_Port_No_Block_15_41_rep1,9,15_41,1,37203409,16135985,56.63
XDP_1024-1032_Port_No_Block_15_41_rep2,9,15_41,2,37203130,16165351,56.55
XDP_1024-1032_Port_No_Block_15_41_rep3,9,15_41,3,37203402,16174764,56.52
XDP_1024-1032_Port_No_Block_15_rep1,9,15,1,37203370,32099787,13.72
XDP_1024-1032_Port_No_Block_15_rep2,9,15,2,37203407,32161233,13.55
XDP_1024-1032_Port_No_Block_15_rep3,9,15,3,37203347,32121130,13.66
XDP_1024-1032_Port_No_Block_41_rep1,9,41,1,37184882,0,100.0
XDP_1024-1032_Port_No_Block_41_rep2,9,41,2,37187575,0,100.0
XDP_1024-1032_Port_No_Block_41_rep3,9,41,3,37169075,0,100.0
XDP_1024-1033_Port_No_Block_15_41_rep1,10,15_41,1,37203389,15962699,57.09
XDP_1024-1033_Port_No_Block_15_41_rep2,10,15_41,2,37172981,16179068,56.48
XDP_1024-1033_Port_No_Block_15_41_rep2_v2,10,15_41,2,37203349,12621912,66.07
XDP_1024-1033_Port_No_Block_15_41_rep2_v3,10,15_41,2,37203366,12003718,67.73
XDP_1024-1033_Port_No_Block_15_41_rep2_v4,10,15_41,2,0,0,0.0
XDP_1024-1033_Port_No_Block_15_41_rep3,10,15_41,3,37200659,16175229,56.52
XDP_1024-1033_Port_No_Block_15_rep1,10,15,1,37203399,32188299,13.48
XDP_1024-1033_Port_No_Block_15_rep2,10,15,2,37199654,32219593,13.39
XDP_1024-1033_Port_No_Block_15_rep2_v2,10,15,2,37203328,0,100.0
XDP_1024-1033_Port_No_Block_15_rep2_v3,10,15,2,37203367,13722473,63.11
XDP_1024-1033_Port_No_Block_15_rep2_v4,10,15,2,37203304,13766394,63.0
XDP_1024-1033_Port_No_Block_15_rep3,10,15,3,37203345,32259775,13.29
XDP_1024-1033_Port_No_Block_41_rep1,10,41,1,37202534,0,100.0
XDP_1024-1033_Port_No_Block_41_rep2,10,41,2,37188190,0,100.0
XDP_1024-1033_Port_No_Block_41_rep2_v2,10,41,2,37203225,0,100.0
XDP_1024-1033_Port_No_Block_41_rep2_v3,10,41,2,37203189,0,100.0
XDP_1024-1033_Port_No_Block_41_rep3,10,41,3,37161545,0,100.0
