experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
XDP_1024-1032_Port_No_Block_15_41_rep3,9,15_41,3,37203402,16174764,56.52
XDP_1024-1032_Port_No_Block_15_rep1,9,15,1,37203370,32099787,13.72
XDP_1024-1032_Port_No_Block_15_rep2,9,15,2,37203407,32161233,13.55
XDP_1024-1032_Port_No_Block_15_rep3,9,15,3,37203347,32121130,13.66
XDP_1024-1032_Port_No_Block_41_rep1,9,41,1,37184882,0,100.0
XDP_1024-1032_Port_No_Block_41_rep2,9,41,2,37187575,0,100.0
XDP_1024-1032_Port_No_Block_41_rep3,9,41,3,37169075,0,100.0
XDP_1024-1033_Port_No_Block_15_41_rep1,10,15_41,1,37203389,15962699,57.09
XDP_1024-1033_Port_No_Block_15_41_rep2,10,15_41,2,37172981,16179068,56.48
XDP_1024-1033_Port_No_Block_15_41_rep3,10,15_41,3,37200659,16175229,56.52
XDP_1024-1033_Port_No_Block_15_rep1,10,15,1,37203399,32188299,13.48
XDP_1024-1033_Port_No_Block_15_rep2,10,15,2,37199654,32219593,13.39
XDP_1024-1033_Port_No_Block_15_rep3,10,15,3,37203345,32259775,13.29
XDP_1024-1033_Port_No_Block_41_rep1,10,41,1,37202534,0,100.0
XDP_1024-1033_Port_No_Block_41_rep2,10,41,2,37188190,0,100.0
XDP_1024-1033_Port_No_Block_41_rep3,10,41,3,37161545,0,100.0
