experiment,n_ports,direction,rep,tx_pps,rx_pps,drop_pct
VPP_1024-1024_Port_No_Block_15_41_rep1,1,15_41,1,37203378,15405054,58.59
VPP_1024-1024_Port_No_Block_15_41_rep2,1,15_41,2,37203379,15847319,57.4
VPP_1024-1024_Port_No_Block_15_41_rep3,1,15_41,3,37203383,15465511,58.43
VPP_1024-1024_Port_No_Block_15_rep1,1,15,1,37203369,30958428,16.79
VPP_1024-1024_Port_No_Block_15_rep2,1,15,2,37203375,30848566,17.08
VPP_1024-1024_Port_No_Block_15_rep3,1,15,3,37203374,30838386,17.11
VPP_1024-1024_Port_No_Block_41_rep1,1,41,1,37203167,0,100.0
VPP_1024-1024_Port_No_Block_41_rep2,1,41,2,37203177,0,100.0
VPP_1024-1024_Port_No_Block_41_rep3,1,41,3,37203190,0,100.0
VPP_1024-1025_Port_No_Block_15_41_rep1,2,15_41,1,37203383,15635028,57.97
VPP_1024-1025_Port_No_Block_15_41_rep2,2,15_41,2,37203388,15508137,58.32
VPP_1024-1025_Port_No_Block_15_41_rep3,2,15_41,3,37203392,15499486,58.34
VPP_1024-1025_Port_No_Block_15_rep1,2,15,1,37203389,30642603,17.63
VPP_1024-1025_Port_No_Block_15_rep2,2,15,2,37203385,30673643,17.55
VPP_1024-1025_Port_No_Block_15_rep3,2,15,3,37203390,30791856,17.23
VPP_1024-1025_Port_No_Block_41_rep1,2,41,1,37203199,0,100.0
VPP_1024-1025_Port_No_Block_41_rep2,2,41,2,37203194,0,100.0
VPP_1024-1025_Port_No_Block_41_rep3,2,41,3,37203197,0,100.0
VPP_1024-1026_Port_No_Block_15_41_rep1,3,15_41,1,37203398,15526494,58.27
VPP_1024-1026_Port_No_Block_15_41_rep2,3,15_41,2,37203390,15325194,58.81
VPP_1024-1026_Port_No_Block_15_41_rep3,3,15_41,3,37203393,15525903,58.27
VPP_1024-1026_Port_No_Block_15_rep1,3,15,1,37203392,31189414,16.17
VPP_1024-1026_Port_No_Block_15_rep2,3,15,2,37203395,30759736,17.32
VPP_1024-1026_Port_No_Block_15_rep3,3,15,3,37203393,30672785,17.55
VPP_1024-1026_Port_No_Block_41_rep1,3,41,1,37203187,0,100.0
VPP_1024-1026_Port_No_Block_41_rep2,3,41,2,37203075,0,100.0
VPP_1024-1026_Port_No_Block_41_rep3,3,41,3,37203165,0,100.0
VPP_1024-1027_Port_No_Block_15_41_rep1,4,15_41,1,37203397,15506523,58.32
VPP_1024-1027_Port_No_Block_15_41_rep2,4,15_41,2,37203394,15703029,57.79
VPP_1024-1027_Port_No_Block_15_41_rep3,4,15_41,3,37203401,15511088,58.31
VPP_1024-1027_Port_No_Block_15_rep1,4,15,1,37203395,30818994,17.16
VPP_1024-1027_Port_No_Block_15_rep2,4,15,2,37203398,30807473,17.19
VPP_1024-1027_Port_No_Block_15_rep3,4,15,3,37203398,30842152,17.1
VPP_1024-1027_Port_No_Block_41_rep1,4,41,1,37203190,0,100.0
VPP_1024-1027_Port_No_Block_41_rep2,4,41,2,37203179,0,100.0
VPP_1024-1027_Port_No_Block_41_rep3,4,41,3,37203189,0,100.0
VPP_1024-1028_Port_No_Block_15_41_rep1,5,15_41,1,37203390,15477351,58.4
VPP_1024-1028_Port_No_Block_15_41_rep2,5,15_41,2,37203393,15134295,59.32
VPP_1024-1028_Port_No_Block_15_41_rep3,5,15_41,3,37203395,15071955,59.49
VPP_1024-1028_Port_No_Block_15_rep1,5,15,1,37203397,30951742,16.8
VPP_1024-1028_Port_No_Block_15_rep2,5,15,2,37203396,30770333,17.29
VPP_1024-1028_Port_No_Block_15_rep3,5,15,3,37203393,30887545,16.98
VPP_1024-1028_Port_No_Block_41_rep1,5,41,1,37203175,0,100.0
VPP_1024-1028_Port_No_Block_41_rep2,5,41,2,37203186,0,100.0
VPP_1024-1028_Port_No_Block_41_rep3,5,41,3,37203190,0,100.0
VPP_1024-1029_Port_No_Block_15_41_rep1,6,15_41,1,37203394,15409557,58.58
VPP_1024-1029_Port_No_Block_15_41_rep2,6,15_41,2,37203397,15500192,58.34
VPP_1024-1029_Port_No_Block_15_41_rep3,6,15_41,3,37203396,15526425,58.27
